x,y,z,phi1,PHI,phi2,phase,grain_id,kam,stored_energy,is_recrystallized
0.0,12.0,1.0,344.66840218142727,89.10787789215942,164.04824024639024,1,10,26.557003226510766,0.0,0
0.0,12.0,2.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,40.111552649633815,0.0,0
0.0,12.0,3.0,349.4056537658141,82.00824079019257,168.91867380226108,1,11,27.78959295760725,0.0,0
0.0,12.0,4.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,43.857067102763814,0.0,0
0.0,12.0,5.0,340.9665156846877,85.2344047821576,165.513271627736,1,12,26.064903537808316,0.0,0
0.0,12.0,6.0,340.20497433543835,91.47441956942811,164.89650490655495,1,9,28.09205715246181,0.0,0
0.0,12.0,7.0,342.87544020443147,85.10041450866758,174.71173226341423,1,13,28.117347284522424,0.0,0
0.0,12.0,8.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,34.856888641460294,0.0,0
0.0,12.0,9.0,338.83292758474664,87.19864910626234,172.6080849115664,1,14,22.232453607960238,0.0,0
0.0,13.0,0.0,340.20497433543835,91.47441956942811,164.89650490655495,1,9,8.670129350588837,0.0,0
0.0,13.0,1.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,6.648179061033773,0.0,0
0.0,13.0,2.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,6.390655583772411,0.0,0
0.0,13.0,3.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,6.386899921208612,0.0,0
0.0,13.0,4.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,6.575797887579671,0.0,0
0.0,13.0,5.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,6.339598157748798,0.0,0
0.0,13.0,6.0,342.87544020443147,85.10041450866758,174.71173226341423,1,13,7.001608552686361,0.0,0
0.0,13.0,7.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,7.0456596339191115,0.0,0
0.0,13.0,8.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,7.019023030561391,0.0,0
0.0,13.0,9.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,6.82859900088577,0.0,0
0.0,14.0,0.0,340.20497433543835,91.47441956942811,164.89650490655495,1,9,7.516449323322817,0.0,0
0.0,14.0,1.0,344.66840218142727,89.10787789215942,164.04824024639024,1,10,7.111502298269372,0.0,0
0.0,14.0,2.0,344.21970373210183,78.91330058165627,169.1672606602029,1,15,8.50295291787803,0.0,0
0.0,14.0,3.0,340.20497433543835,91.47441956942811,164.89650490655495,1,9,8.633968703179603,0.0,0
0.0,14.0,4.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,6.999530066842953,0.0,0
0.0,14.0,5.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,6.1080370461613445,0.0,0
0.0,14.0,6.0,344.66840218142727,89.10787789215942,164.04824024639024,1,10,6.936885948016215,0.0,0
0.0,14.0,7.0,340.20497433543835,91.47441956942811,164.89650490655495,1,9,7.760181085818483,0.0,0
0.0,14.0,8.0,344.66840218142727,89.10787789215942,164.04824024639024,1,10,6.70717549799788,0.0,0
0.0,14.0,9.0,340.20497433543835,91.47441956942811,164.89650490655495,1,9,8.072653495997548,0.0,0
0.0,15.0,0.0,344.66840218142727,89.10787789215942,164.04824024639024,1,10,6.810617807868159,0.0,0
0.0,15.0,1.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,7.34868563224833,0.0,0
0.0,15.0,2.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,6.8575929917447365,0.0,0
0.0,15.0,3.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,6.933538061791556,0.0,0
0.0,15.0,4.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,7.158020079487407,0.0,0
0.0,15.0,5.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,7.032003828150141,0.0,0
0.0,15.0,6.0,344.66840218142727,89.10787789215942,164.04824024639024,1,10,6.386310755157225,0.0,0
0.0,15.0,7.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,6.974249144636029,0.0,0
0.0,15.0,8.0,340.20497433543835,91.47441956942811,164.89650490655495,1,9,7.58131714987858,0.0,0
0.0,15.0,9.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,6.829726939263007,0.0,0
0.0,16.0,0.0,340.20497433543835,91.47441956942811,164.89650490655495,1,9,9.552467169088565,0.0,0
0.0,16.0,1.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,7.536356100003417,0.0,0
0.0,16.0,2.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,6.975007234935374,0.0,0
0.0,16.0,3.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,6.838906477404079,0.0,0
0.0,16.0,4.0,344.66840218142727,89.10787789215942,164.04824024639024,1,10,6.298333690631533,0.0,0
0.0,16.0,5.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,7.158020079487407,0.0,0
0.0,16.0,6.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,6.907745158592169,0.0,0
0.0,16.0,7.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,6.868872656181515,0.0,0
0.0,16.0,8.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,6.651627660572537,0.0,0
0.0,16.0,9.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,6.89883883495895,0.0,0
0.0,17.0,0.0,349.4056537658141,82.00824079019257,168.91867380226108,1,11,8.1894937233643,0.0,0
0.0,17.0,1.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,7.546321272420943,0.0,0
0.0,17.0,2.0,338.83292758474664,87.19864910626234,172.6080849115664,1,14,6.646366526145125,0.0,0
0.0,17.0,3.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,6.32201276139065,0.0,0
0.0,17.0,4.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,7.395755098454089,0.0,0
0.0,17.0,5.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,7.555553090283517,0.0,0
0.0,17.0,6.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,7.32332643211032,0.0,0
0.0,17.0,7.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,6.660771414116802,0.0,0
0.0,17.0,8.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,6.353976685419916,0.0,0
0.0,17.0,9.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,6.401922571463811,0.0,0
